Host family,Host genus,Species,Conservation Status,Parasite type,Type Parasite Detailled,EEO,Parasite Family,Parasite genus,Parasite species,Host,region,reference,Sample from
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,rufus,VU,helminth,nematode,5192,Entamoebidae,Enterobius,sp.,Microcebus_rufus,,"AIVELO, T., MEDLAR, A., LÖYTYNOJA, A., LAAKKONEN, J., & JERNVALL, J. (2015). Tracking year-to-year changes in intestinal nematode communities of rufous mouse lemurs (Microcebus rufus). Parasitology, 142(8), 1095-1107. doi:10.1017/S0031182015000438",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Entamoebidae,Enterobius,sp.,Microcebus_murinus,Mandena,"Raharivololona, B., Rakotondravao, and J. U. Ganzhorn. 2007. Gastrointestinal parasites of small mammals in the littoral forest of Mandena, Pages 247-258 in J. U. Ganzhorn, S. M. Goodman, and M. Vincelette, eds. Biodiversity, Ecology, and Conservation of Littoral Ecosystems in the Region of Tolagnaro (Fort Dauphin), Southeastern Madagascar.
Gastrointestinal parasites of small mammals in the littoral forest
of Mandena. In: Biodiversity, Ecology, and Conservation of Littoral
Ecosystems in the Region of Tolagnaro (Fort Dauphin), Southeastern
Madagascar, J. U. Ganzhorn, S. M. Goodman & M. Vincelette (eds.), pp
247-258. Smithsonian Institution, Washington, D. C.",
Cheirogaleidae,Microcebus,murinus,LC,helminth,nematode,358995,Entamoebidae,Enterobius,sp.,Microcebus_murinus,Mandena,"Raharivololona, B.M. 2006. Gastrointestinal parasites of Cheirogaleus spp. and Microcebus murinus in the littoral forest of Mandena, Madagascar. Lemur News 11: 31-35.",
Cheirogaleidae,Cheirogaleus,major,VU,helminth,nematode,90900,Oxyuridae,Lemuricola ,contagiosus,Cheirogaleus_major,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",
Cheirogaleidae,Cheirogaleus,major,VU,helminth,nematode,90900,Oxyuridae,Lemuricola ,contagiosus,Cheirogaleus_major,,"Hugot, J. P., S. L. Gardner, and S. Morand. 1996. The Enterobiinae subfam nov (Nematoda, Oxyurida) pinworm parasites of primates and rodents. International Journal for Parasitology 26:147-159.
",
Cheirogaleidae,Cheirogaleus,major,VU,helminth,nematode,90900,Oxyuridae,Lemuricola ,contagiosus,Cheirogaleus_major,,"Hugot, J. P. 1999. Primates and their pinworm parasite: the Cameron hypothesis revisited. Systematic Biology 48:523-546. ",
Daubentonidae,Daubentonia,madagascariensis,EN,helminth,nematode,523499,Oxyuridae,Lemuricola ,daubentoniae,Daubentonia_madagascariensis,,"Hugot, J. P. 1999. Primates and their pinworm parasite: the Cameron hypothesis revisited. Systematic Biology 48:523-546. ",
Lemuridae,Eulemur,macaco,EN,helminth,nematode,11732,Oxyuridae,Lemuricola ,lemuris,Eulemur _macaco_macaco,,"Hugot, J. P. 1999. Primates and their pinworm parasite: the Cameron hypothesis revisited. Systematic Biology 48:523-546. ",
Lemuridae,Eulemur,albifrons,VU,helminth,nematode,49901,Oxyuridae,Lemuricola ,lemuris,Eulemur_albifrons,,"Irwin, M.T., and J. Raharison. 2009. A review of the endoparasites of the lemurs of Madagascar. Malagasy Nature 2: 66-93.",
Lemuridae,Eulemur,macaco,EN,helminth,nematode,11732,Oxyuridae,Lemuricola ,lemuris,Eulemur _macaco_macaco,,"Irwin, M.T., and J. Raharison. 2009. A review of the endoparasites of the lemurs of Madagascar. Malagasy Nature 2: 66-93.",
Cheirogaleidae,Microcebus ,murinus,LC,helminth,nematode,,Oxyuridae,Lemuricola ,microcebi,Microcebus _murinus,,"Hugot, J. P. 1999. Primates and their pinworm parasite: the Cameron hypothesis revisited. Systematic Biology 48:523-546. ",
Indriidae,Propithecus,verreauxi,CR,helminth,nematode,131892,Oxyuridae,Lemuricola ,tricuroides,Propithecus_verreauxi,,"Chabaud, A. G., Brygoo E. R., and A.J. Petter. 1965. Les nematodes parasites de Lemuriens malgaches. VI. Description de six especes nouvelles et conclusions generales. Annales de Parasitologie 40 (2): 181-214.",
Indriidae,Propithecus,verreauxi,CR,helminth,nematode,131892,Oxyuridae,Lemuricola ,tricuroides,Propithecus_verreauxi,,"Hugot, J. P. 1999. Primates and their pinworm parasite: the Cameron hypothesis revisited. Systematic Biology 48:523-546. ",
